2025-09-28 09:02:48,122 - INFO - 检测到文件 D:\pdd\产品质量体验存档\2025-09-28\宜而爽潮袜旗舰店产品质量数据.xlsx 使用引擎: openpyxl
2025-09-28 09:02:48,132 - INFO - 成功读取文件: D:\pdd\产品质量体验存档\2025-09-28\宜而爽潮袜旗舰店产品质量数据.xlsx, 数据行数: 22
2025-09-28 09:02:48,132 - INFO - 检测到文件 D:\pdd\产品质量体验存档\2025-09-28\宜而爽袜品旗舰店产品质量数据.xlsx 使用引擎: openpyxl
2025-09-28 09:02:48,141 - INFO - 成功读取文件: D:\pdd\产品质量体验存档\2025-09-28\宜而爽袜品旗舰店产品质量数据.xlsx, 数据行数: 26
2025-09-28 09:02:48,142 - INFO - 检测到文件 D:\pdd\产品质量体验存档\2025-09-28\宜而爽裤袜旗舰店产品质量数据.xlsx 使用引擎: openpyxl
2025-09-28 09:02:48,151 - INFO - 成功读取文件: D:\pdd\产品质量体验存档\2025-09-28\宜而爽裤袜旗舰店产品质量数据.xlsx, 数据行数: 29
2025-09-28 09:02:48,151 - INFO - 检测到文件 D:\pdd\产品质量体验存档\2025-09-28\帕兰朵儿童服饰旗舰店产品质量数据.xlsx 使用引擎: openpyxl
2025-09-28 09:02:48,165 - INFO - 成功读取文件: D:\pdd\产品质量体验存档\2025-09-28\帕兰朵儿童服饰旗舰店产品质量数据.xlsx, 数据行数: 71
2025-09-28 09:02:48,165 - INFO - 检测到文件 D:\pdd\产品质量体验存档\2025-09-28\帕兰朵儿童袜旗舰店产品质量数据.xlsx 使用引擎: openpyxl
2025-09-28 09:02:48,171 - INFO - 成功读取文件: D:\pdd\产品质量体验存档\2025-09-28\帕兰朵儿童袜旗舰店产品质量数据.xlsx, 数据行数: 6
2025-09-28 09:02:48,171 - INFO - 检测到文件 D:\pdd\产品质量体验存档\2025-09-28\帕兰朵儿童裤袜旗舰店产品质量数据.xlsx 使用引擎: openpyxl
2025-09-28 09:02:48,178 - INFO - 成功读取文件: D:\pdd\产品质量体验存档\2025-09-28\帕兰朵儿童裤袜旗舰店产品质量数据.xlsx, 数据行数: 10
2025-09-28 09:02:48,178 - INFO - 检测到文件 D:\pdd\产品质量体验存档\2025-09-28\彤昕运动用品企业店产品质量数据.xlsx 使用引擎: openpyxl
2025-09-28 09:02:48,185 - INFO - 成功读取文件: D:\pdd\产品质量体验存档\2025-09-28\彤昕运动用品企业店产品质量数据.xlsx, 数据行数: 16
2025-09-28 09:02:48,185 - INFO - 检测到文件 D:\pdd\产品质量体验存档\2025-09-28\捷昕内衣裤袜专营店产品质量数据.xlsx 使用引擎: openpyxl
2025-09-28 09:02:48,201 - INFO - 成功读取文件: D:\pdd\产品质量体验存档\2025-09-28\捷昕内衣裤袜专营店产品质量数据.xlsx, 数据行数: 60
2025-09-28 09:02:48,202 - INFO - 检测到文件 D:\pdd\产品质量体验存档\2025-09-28\捷昕打底裤袜专营店产品质量数据.xlsx 使用引擎: openpyxl
2025-09-28 09:02:48,216 - INFO - 成功读取文件: D:\pdd\产品质量体验存档\2025-09-28\捷昕打底裤袜专营店产品质量数据.xlsx, 数据行数: 63
2025-09-28 09:02:48,216 - INFO - 检测到文件 D:\pdd\产品质量体验存档\2025-09-28\捷昕服饰箱包专营店产品质量数据.xlsx 使用引擎: openpyxl
2025-09-28 09:02:48,221 - INFO - 成功读取文件: D:\pdd\产品质量体验存档\2025-09-28\捷昕服饰箱包专营店产品质量数据.xlsx, 数据行数: 0
2025-09-28 09:02:48,222 - INFO - 检测到文件 D:\pdd\产品质量体验存档\2025-09-28\捷昕针织专营店产品质量数据.xlsx 使用引擎: openpyxl
2025-09-28 09:02:48,230 - INFO - 成功读取文件: D:\pdd\产品质量体验存档\2025-09-28\捷昕针织专营店产品质量数据.xlsx, 数据行数: 23
2025-09-28 09:02:48,231 - INFO - 检测到文件 D:\pdd\产品质量体验存档\2025-09-28\捷昕针织裤袜专营店产品质量数据.xlsx 使用引擎: openpyxl
2025-09-28 09:02:48,238 - INFO - 成功读取文件: D:\pdd\产品质量体验存档\2025-09-28\捷昕针织裤袜专营店产品质量数据.xlsx, 数据行数: 11
2025-09-28 09:02:48,238 - INFO - 检测到文件 D:\pdd\产品质量体验存档\2025-09-28\朴西南离专卖店产品质量数据.xlsx 使用引擎: openpyxl
